nodeid	nodelen	ys	tunisia	bhagwa	taishanhong	dabenzi	azerbaijan
s190	1345	1	1	1	1	1	0
s191	1093	1	1	1	1	0	0
s192	350	1	1	1	0	0	0
s193	6567	1	1	1	1	0	0
s194	37829	1	1	1	1	1	0
s195	103	1	1	1	0	1	0
s196	51	1	1	1	0	0	0
s197	3273	1	1	1	0	1	0
s198	259	1	1	1	0	1	0
s199	50	1	1	1	0	0	0
s200	1055	1	1	1	0	1	0
s201	2181	1	1	1	0	0	0
s202	4253	1	1	1	0	1	0
s203	95	1	0	0	0	0	0
s204	1937	1	1	1	0	0	0
s205	3191	1	1	1	0	1	0
s206	761	1	1	1	1	1	0
s207	297	1	0	0	0	0	0
s208	7945	1	1	1	1	1	0
s209	297	1	0	0	0	0	0
s210	36132	1	1	1	1	1	0.973624
s211	14039	1	1	1	1	1	1
s212	7861	1	1	1	1	1	1
s213	146	1	1	1	0	0	1
s214	3889	1	1	1	1	1	1
s215	220	1	1	1	1	0	0
s216	5792	1	1	1	1	1	1
s217	518	1	1	1	1	1	1
s218	315	1	1	1	1	1	1
s219	1	1	1	1	0	1	1
s220	26085	1	1	1	1	1	1
s221	587	1	0	0	0	0	0
s222	16706	1	1	1	1	1	1
s223	3	1	1	1	0	0	1
s224	180631	1	1	1	1	1	1
s225	637	1	1	1	1	1	1
s226	460	1	1	1	1	1	1
s227	214	1	1	1	1	0	1
s228	487	1	1	1	1	1	1
s229	5268	1	1	1	1	0	1
s230	103210	1	1	1	1	1	1
s231	1	1	1	0	1	1	1
s232	131	1	1	0	1	0	0
s233	113	1	1	0	1	1	1
s234	30067	1	1	1	1	1	1
s235	49738	1	1	1	1	1	1
s236	91468	1	1	1	1	1	0.957559
s237	5523	1	1	1	0	0	0
s238	9588	1	1	1	1	1	0
s239	56303	1	1	1	1	1	0
s240	21206	1	1	1	1	1	0
s241	2284	1	1	1	0	0	0
s242	24871	1	1	1	1	1	0
s243	8798	1	1	1	1	1	0
s244	438	1	1	0	0	0	0
s245	1080	1	1	1	1	1	0
s246	87	1	1	0	0	0	0
s247	261	1	1	1	1	1	0
s248	68	1	1	0	0	0	0
s249	25616	1	1	1	1	1	0
s250	26174	1	1	1	1	1	0
s251	67	1	1	1	1	0	0
s252	8889	1	1	1	1	1	0
s253	130	1	1	1	0	1	0
s254	28562	1	1	1	1	1	0.770884
s255	16996	1	1	1	1	1	1
s256	121	1	1	1	0	0	1
s257	1591	1	1	1	1	1	1
s258	2190	1	1	1	1	0	1
s259	300	1	1	1	1	1	1
s260	63	1	1	1	1	0	1
s261	7939	1	1	1	1	1	1
s262	13856	1	1	1	1	1	1
s263	147	1	1	0	1	0	1
s264	74654	1	1	1	1	1	1
s265	907	1	0	1	0	1	0
s266	64704	1	1	1	1	1	0.996074
s267	643	1	1	1	1	0	0
s268	4266	1	1	1	1	1	0
s269	134	1	1	1	0	0	0
s270	1828	1	1	1	1	1	0
s271	35	1	1	1	1	0	0
s272	111988	1	1	1	1	1	0.990008
s273	86	1	1	0	1	0	1
s274	7895	1	1	1	1	1	0.0625712
s275	1123	1	1	1	1	0	0
s276	1149	1	1	1	1	1	0
s277	1550	1	1	1	1	1	0
s278	1	1	1	1	1	0	0
s279	980	1	1	1	1	1	0
s280	62	1	0	1	0	1	0
s281	8505	1	1	1	1	1	0.632687
s282	2109	1	1	1	1	0	1
s283	1075	1	1	1	0	0	1
s284	2121	1	1	1	1	0	1
s285	13970	1	1	1	1	1	1
s286	29	1	1	1	1	0	1
s287	39881	1	1	1	1	1	1
s288	270	1	1	1	0	1	0
s289	58845	1	1	1	1	1	1
s290	39193	1	1	1	1	1	1
s291	92	1	1	1	0	1	1
s292	204538	1	1	1	0.999355	1	0.900693
s293	1554	1	1	1	0	0	1
s294	62459	1	1	1	0.827967	1	1
s295	40165	1	1	1	1	1	0.990066
s296	3399	1	1	1	1	0	0
s297	38	1	1	1	1	1	0
s298	143049	1	1	1	1	1	0.863984
s299	19216	1	1	1	1	0	1
s300	9838	1	1	1	1	0	1
s301	248	1	1	1	0	0	0
s302	5188	1	1	1	0	1	0
s303	134792	1	1	1	1	1	0.406523
s304	90	1	1	1	0	0	0
s305	24370	1	1	1	1	1	0.956996
s306	37676	1	1	1	1	1	1
s307	1	1	1	1	1	0	0
s308	58274	1	1	1	1	1	1
s309	5507	1	1	1	1	1	1
s310	204	1	1	1	0	1	1
s311	78920	1	1	1	1	1	1
s312	2	1	1	1	1	0	1
s313	29132	1	1	1	1	1	1
s314	1	1	1	1	1	0	1
s315	2418	1	1	1	1	1	1
s316	110117	1	1	1	1	1	0.999973
s317	564	1	1	1	0	1	1
s318	23052	1	1	1	1	1	1
s319	10459	1	1	1	1	1	1
s320	7431	1	1	1	1	1	1
s321	380	1	1	1	1	0	0
s322	308	1	1	1	1	1	1
s323	1621	1	1	1	1	0	1
s324	4798	1	1	1	1	1	1
s325	29599	1	1	1	1	1	0.999257
s326	80456	1	1	1	1	1	0.995215
s327	204	1	1	1	1	0	0
s328	2465	1	1	1	1	1	0
s329	13425	1	1	1	1	1	0
s330	900	1	1	1	1	0	0
s331	60444	1	1	1	1	1	0.967739
s332	150579	1	1	1	1	1	1
s333	87095	1	1	1	1	1	1
s334	36733	1	1	1	1	1	1
s335	11400	1	1	1	1	1	1
s336	7	1	1	1	1	0	1
s337	118592	1	1	1	1	1	1
s338	33452	1	1	1	1	1	1
s339	149	1	1	1	0	1	1
s340	10570	1	1	1	1	1	1
s341	5042	1	1	1	1	1	1
s342	82	1	1	1	1	0	1
s343	99054	1	1	1	1	1	1
s344	88	1	0	1	1	1	1
s345	1266	1	1	1	1	1	1
s346	78	1	1	1	1	0	1
s347	6026	1	1	1	1	1	1
s348	93648	1	1	1	1	1	1
s349	10287	1	1	1	1	1	0.975989
s350	1046	1	1	1	0	0	0
s351	1226	1	1	1	1	1	0
s352	1321	1	1	1	1	1	0
s353	207565	1	1	1	1	1	0.99285
s354	84283	1	1	1	1	1	0.999834
s355	81289	1	1	1	1	1	0.926571
s356	3	1	1	1	1	0	1
s357	21253	1	1	1	1	1	1
s358	70	1	0	1	1	0	1
s359	2176	1	1	1	1	1	1
s360	131	1	0	1	1	1	1
s361	29959	1	1	1	1	1	1
s362	4740	1	1	1	0	0	1
s363	58743	1	1	1	1	1	1
s364	3	1	1	1	1	0	1
s365	60438	1	1	1	1	1	1
s366	306	1	0	1	1	0	1
s367	317	1	1	1	1	1	1
s368	143	1	1	1	1	1	0
s369	1511	1	1	1	1	1	1
s370	399	1	1	1	1	1	1
s371	87	1	1	1	1	1	1
s372	81927	1	1	1	1	1	0.0231548
s373	7188	1	1	1	1	1	0
s374	640	1	1	1	1	1	0
s375	11412	1	1	1	1	1	0
s376	1360	1	1	1	1	0	0
s377	1275	1	1	1	1	1	0
s378	12745	1	1	1	1	1	0.554806
s379	145	1	1	1	1	1	1
s380	1	1	1	1	1	0	1
s381	181	1	0	1	1	0	0
s382	95	1	0	1	1	1	0
s383	39139	1	1	1	1	1	1
s384	176	1	0	1	1	1	1
s385	36074	1	1	1	1	1	1
s386	28	1	1	1	1	0	0
s387	228	1	1	1	0	0	0
s388	3151	1	1	1	1	1	1
s389	2900	1	1	1	1	1	1
s390	66	1	1	1	0	1	0
s391	3227	1	1	1	1	1	1
s392	79246	1	1	1	1	1	1
s393	31215	1	1	1	1	1	1
s394	184	1	0	1	1	1	1
s395	26052	1	1	1	1	1	1
s396	39	1	1	1	1	0	1
s397	1541	1	1	1	1	1	0.2122
s398	50	1	1	1	1	0	0
s399	5882	1	1	1	1	1	0
s400	1052	1	1	1	1	0	0
s401	239	1	1	1	1	1	0
s402	253	1	1	1	1	0	0
s403	1960	1	1	1	1	1	0
s404	1725	1	1	1	0	0	0
s405	2339	1	1	1	1	1	0
s406	288	1	1	1	1	0	0
s407	1099	1	1	1	1	1	0
s408	1613	1	1	1	0	0	0
s409	36439	1	1	1	1	1	0
s410	4613	1	1	1	1	1	0
s411	1702	1	1	1	0	0	0
s412	4840	1	1	1	1	1	0.722314
s413	3723	1	1	1	1	1	1
s414	186	1	1	1	0	1	1
s415	432	1	1	1	0	1	1
s416	2434	1	1	1	1	1	1
s417	1172	1	1	1	1	0	1
s418	8526	1	1	1	1	1	1
s419	94427	1	1	1	1	1	1
s420	15225	1	1	1	1	1	1
s421	8582	1	1	1	1	1	1
s422	65021	1	1	1	1	1	1
s423	204	1	1	1	0	0	1
s424	4907	1	1	1	1	1	1
s425	203	1	1	1	1	1	1
s426	99499	1	1	1	1	1	0.993648
s427	18369	1	1	1	1	1	1
s428	179	1	1	1	0	1	1
s429	70601	1	1	1	1	1	1
s430	32421	1	1	1	1	1	1
s431	62270	1	1	1	1	1	1
s432	907	1	1	1	1	1	1
s433	111	1	1	1	0	1	1
s434	43450	1	1	1	1	1	0.968239
s435	349	1	1	1	1	0	0
s436	24500	1	1	1	1	1	0.835796
s437	1281	1	1	1	1	0	1
s438	3527	1	1	1	1	1	1
s439	4475	1	1	1	1	1	1
s440	16761	1	1	1	1	1	1
s441	1	1	1	1	1	0	1
s442	1430	1	1	1	1	1	1
s443	20894	1	1	1	1	1	1
s444	135	1	1	1	1	0	0
s445	744	1	1	1	1	1	1
s446	675	1	0	1	1	1	1
s447	9	1	0	1	0	1	1
s448	63	1	0	1	0	1	1
s449	5959	1	0	1	1	1	1
s450	5	1	0	1	1	0	1
s451	5814	1	0	1	1	1	1
s452	393	1	0	1	1	0	1
s453	13794	1	0	1	1	1	1
s454	1346	1	0	0	1	1	0
s455	22153	1	0	1	1	1	1
s456	158	1	0	1	1	0	1
s457	16989	1	0	1	1	1	1
s458	124	1	0	1	1	0	1
s459	30479	1	0	1	1	1	1
s460	12	1	0	1	0	0	0
s461	1699	1	0	1	1	1	1
s462	1543	1	0	1	1	1	1
s463	1153	1	0	1	1	0	1
s464	3418	1	0	1	1	1	1
s465	679	1	1	1	1	1	1
s466	35252	1	1	1	1	1	1
s467	2753	1	1	1	1	1	1
s468	100	1	1	1	1	0	1
s469	19996	1	1	1	1	1	1
s470	33419	1	1	1	1	1	1
s471	25884	1	1	1	1	1	1
s472	70480	1	1	1	1	1	1
s473	45332	1	1	1	1	1	0.949506
s474	40811	1	1	1	1	1	1
s475	104	1	1	1	1	0	0
s476	2941	1	1	1	1	1	1
s477	1269	1	1	1	1	0	0
s478	3197	1	1	1	1	1	1
s479	96	1	0	1	1	1	1
s480	63823	1	1	1	1	1	1
s481	85496	1	1	1	1	1	1
s482	6	1	1	1	1	0	1
s483	20260	1	1	1	1	1	1
s484	65415	1	1	1	1	1	0.358847
s485	17481	1	1	1	1	1	1
s486	12528	1	1	1	1	1	1
s487	1202	1	0	1	1	1	1
s488	1544	1	1	1	1	1	1
s489	1	1	0	1	1	1	1
s490	51953	1	1	1	1	1	1
s491	21	1	1	1	1	0	1
s492	4242	1	1	1	1	1	1
s493	15856	1	1	1	1	1	1
s494	284	1	1	1	1	0	1
s495	6037	1	1	1	1	1	1
s496	44	1	1	1	1	0	1
s497	244	1	1	1	0	0	1
s498	65	1	1	1	0	1	1
s499	54408	1	1	1	1	1	1
s500	95	1	1	1	1	0	1
s501	11374	1	1	1	1	1	1
s502	205	1	0	1	1	1	1
s503	19344	1	1	1	1	1	1
s504	71346	1	1	1	1	1	0.817327
s505	2160	1	1	1	1	1	1
s506	92	1	0	1	1	1	1
s507	46353	1	1	1	1	1	1
s508	70	1	1	1	0	1	0
s509	76283	1	1	1	0.861031	0.902036	0.562511
s510	70	1	1	1	0	1	0
s511	39954	1	1	1	1	1	0
s512	11	1	1	1	1	0	0
s513	11492	1	1	1	1	1	0
s514	519	1	0	1	1	1	0
s515	3809	1	1	1	1	1	0
s516	17	1	1	1	0	0	0
s517	284	1	1	1	1	1	0
s518	2489	1	1	1	1	1	0
s519	1	1	1	1	0	1	0
s520	204	1	0	1	0	1	0
s521	363	1	1	1	0	1	0
s522	2025	1	1	1	1	1	0.634074
s523	10	1	1	1	0	1	1
s524	8714	1	1	1	1	1	1
s525	195	1	0	1	1	1	1
s526	41587	1	1	1	1	1	1
s527	30118	1	1	1	1	1	1
s528	73234	1	1	1	1	1	1
s529	105	1	0	1	1	1	1
s530	5044	1	1	1	1	1	1
s531	91	1	0	1	1	1	0
s532	31148	1	1	1	1	1	1
s533	1181	1	0	1	1	1	1
s534	7061	1	1	1	1	1	1
s535	201	1	1	1	1	0	1
s536	219	1	1	1	1	1	1
s537	288	1	1	1	1	0	1
s538	455	1	1	1	1	1	1
s539	303	1	1	1	0	0	1
s540	161	1	1	1	1	1	1
s541	179	1	1	1	1	0	1
s542	1055	1	1	1	1	1	1
s543	268	1	1	1	0	1	1
s544	45410	1	1	1	1	1	1
s545	5403	1	1	1	1	1	1
s546	13116	1	1	1	1	1	0.170174
s547	7200	1	1	1	1	1	0
s548	49750	1	1	1	1	1	0
s549	9449	1	1	1	1	1	0
s550	983	1	1	1	1	0	0
s551	796	1	1	1	1	1	0
s552	15893	1	1	1	1	1	0
s553	1690	1	1	1	1	1	0
s554	26	1	1	1	1	1	0
s555	269	1	1	1	0	0	0
s556	30955	1	1	1	1	1	0.96524
s557	26946	1	1	1	1	1	1
s558	5054	1	1	1	1	1	1
s559	103	1	1	1	0	1	1
s560	1285	1	1	1	1	1	1
s561	58	1	1	1	0	1	1
s562	2315	1	1	1	1	1	1
s563	627	1	1	1	1	0	1
s564	56312	1	1	1	1	1	0.59062
s565	70	1	1	1	1	0	0
s566	15226	1	1	1	1	1	0
s567	59	1	1	1	0	1	0
s568	41607	1	1	1	1	1	0.732377
s569	25595	1	1	1	1	1	1
s570	78	1	0	0	1	1	1
s571	53079	1	1	1	1	1	1
s572	6823	1	1	1	1	1	1
s573	59	0	0	0	0	1	1
s574	4193	1	1	1	1	1	1
s575	3672	1	1	1	0	1	1
s576	59356	1	1	1	1	1	1
s577	7525	1	1	1	1	1	1
s578	1052	1	1	1	1	0	1
s579	21677	1	1	1	1	1	1
s580	29043	1	1	1	1	1	1
s581	600	1	1	1	1	1	1
s582	149	1	1	1	1	0	1
s583	766	1	1	1	1	1	1
s584	4	1	1	1	1	0	1
s585	50838	1	1	1	1	1	0.993096
s586	1448	1	1	1	1	0	0
s587	9917	1	1	1	1	1	0
s588	8	1	1	1	1	0	0
s589	35937	1	1	1	0.908228	1	0
s590	44	1	0	1	0	1	0
s591	84736	1	1	1	0.842912	1	0.842121
s592	6	1	0	1	1	1	1
s593	15363	1	1	1	1	1	1
s594	24	1	1	1	1	0	1
s595	81	1	0	1	1	0	1
s596	339	1	1	1	1	0	1
s597	26916	1	1	1	1	1	0.958055
s598	3	1	1	1	0	0	0
s599	221	1	1	1	0	1	0
s600	28825	1	1	1	1	1	0
s601	6657	1	1	1	1	0	0
s602	43812	1	1	1	1	1	0
s603	1091	1	1	1	0	0	0
s604	614	1	1	1	1	1	0
s605	106	1	1	1	0	0	0
s606	166	1	1	1	1	1	0
s607	1	1	1	1	1	1	0
s608	2155	1	1	1	1	1	0
s609	2726	1	1	1	1	1	0
s610	598	1	0	1	1	1	0
s611	2404	1	1	1	1	1	0
s612	354	1	1	1	1	1	0
s613	53	1	0	1	1	1	0
s614	1137	1	1	1	1	1	0
s615	2274	1	1	1	1	0	0
s616	641	1	1	1	0	0	0
s617	1	1	1	1	0	1	0
s618	15592	1	1	1	1	1	0
s619	13770	1	1	1	1	1	0
s620	346	1	1	1	0	0	0
s621	926	1	1	1	1	1	0
s622	678	1	1	1	0	1	0
s623	26103	1	1	1	1	1	0.318239
s624	27343	1	1	1	1	1	1
s625	16299	1	1	1	1	1	1
s626	34986	1	1	1	1	1	1
s627	165524	1	1	1	1	1	1
s628	35663	1	1	1	1	1	1
s629	2	1	1	1	1	1	0
s630	8947	1	1	1	1	1	1
s631	681	1	0	1	1	1	1
s632	47069	1	1	1	1	1	1
s633	12168	1	1	1	1	1	1
s634	21	1	1	1	1	0	1
s635	19420	1	1	1	1	1	1
s636	16542	1	1	1	1	1	1
s637	1785	1	1	1	1	1	1
s638	594	1	1	1	1	1	1
s639	9	1	1	1	1	0	0
s640	18833	1	1	1	1	1	1
s641	166	1	1	1	1	0	0
s642	6081	1	1	1	1	1	1
s643	270	1	1	1	0	0	1
s644	54857	1	1	1	1	1	0.996773
s645	3026	1	1	1	1	1	0
s646	10496	1	1	1	1	1	0
s647	2	1	1	1	1	0	0
s648	23541	1	1	1	1	1	0.55329
s649	6247	1	1	1	1	1	1
s650	366	1	1	1	1	0	1
s651	34667	1	1	1	1	1	1
s652	121	1	1	1	1	0	1
s653	8939	1	1	1	1	1	1
s654	35133	1	1	1	1	1	0.96166
s655	18832	1	1	1	1	1	0.660259
s656	13	1	1	1	0	0	0
s657	19360	1	1	1	1	1	1
s658	436	1	1	1	1	1	1
s659	354	1	0	1	1	1	1
s660	8269	1	1	1	1	1	1
s661	12	1	1	0	1	1	0
s662	6374	1	1	1	1	1	1
s663	2911	1	1	1	0	1	1
s664	20119	1	1	1	1	1	1
s665	1567	1	1	1	1	1	1
s666	11665	1	1	1	1	1	1
s667	61	1	1	1	1	0	1
s668	10396	1	1	1	1	1	1
s669	94762	1	1	1	1	1	1
s670	17189	1	1	1	1	1	1
s671	121	1	1	0	1	1	1
s672	25150	1	1	1	1	1	1
s673	86	1	0	1	1	1	1
s674	48363	1	1	1	1	1	1
s675	55	1	0	1	1	1	0
s676	49578	1	1	1	1	1	0.998104
s677	1	1	1	1	1	0	0
s678	29588	1	1	1	1	1	1
s679	2	1	1	1	1	1	1
s680	24764	1	1	1	1	1	1
s681	121	1	1	1	1	0	0
s682	18087	1	1	1	1	1	1
s683	213	1	1	1	1	0	1
s684	966	1	1	1	1	1	1
s685	10	1	1	1	1	0	0
s686	3507	1	1	1	1	1	1
s687	2708	1	1	1	1	1	1
s688	95	1	1	1	0	1	1
s689	7999	1	1	1	1	1	1
s690	68	1	1	0	1	0	1
s691	5583	1	1	1	1	1	1
s692	64	1	1	1	0	0	0
s693	1619	1	1	1	1	1	1
s694	10692	1	1	1	1	1	1
s695	18817	1	1	1	1	1	1
s696	24342	1	1	1	1	1	1
s697	291	1	1	1	1	1	1
s698	4260	1	1	1	1	1	1
s699	22029	1	1	0	0	0	0
s700	4478	1	1	1	1	1	1
s701	57	1	1	1	1	1	1
s702	19024	1	1	1	1	1	1
s703	83	1	0	1	1	1	1
s704	43115	1	1	1	1	1	1
s705	19261	1	1	1	1	1	1
s706	140	1	0	0	0	1	0
s707	232	1	1	1	1	1	1
s708	19	1	0	0	0	1	0
s709	221	1	0	0	0	0	0
s710	23	1	0	0	0	1	0
s711	7987	1	1	1	1	1	1
s712	180	1	0	0	0	1	0
s713	2226	1	1	1	1	1	1
s714	79	1	0	0	0	1	0
s715	2515	1	1	1	1	1	0.722465
s716	775	1	1	1	1	0	0
s717	10343	1	1	1	1	1	0.62042
s718	25919	1	1	1	1	1	1
s719	586	1	1	0	0	0	1
s720	58024	1	1	1	1	1	1
s721	4845	1	1	1	1	1	1
s722	51990	1	1	1	1	1	1
s723	4007	1	1	1	1	0	1
s724	23832	1	1	1	1	1	1
s725	28	1	1	1	1	0	0
s726	47683	1	1	1	1	1	1
s727	72	1	1	1	0	0	1
s728	10294	1	1	1	1	1	0.440451
s729	125	1	1	1	0	1	0
s730	8872	1	1	1	1	1	0
s731	117358	1	1	1	1	1	0.128879
s732	4216	1	1	0	0	0	0
s733	15837	1	1	1	1	1	1
s734	170	1	1	0	0	0	0
s735	91491	1	1	1	1	1	1
s736	102	1	1	0	1	1	0
s737	8827	1	1	1	1	1	1
s738	26	1	1	1	1	0	1
s739	163	1	1	1	1	1	1
s740	34412	1	1	1	1	1	0.956411
s741	248	1	1	1	1	0	0
s742	9342	1	1	1	1	1	0
s743	1367	1	1	1	0	1	0
s744	9367	1	1	1	0	0.262304	0
s745	7406	1	1	0	0	0.153794	0
s746	160	1	1	0	0	0	0
s747	20053	1	1	1	1	1	0
s748	1317	1	1	1	1	1	0
s749	13747	1	1	1	1	1	0
s750	1220	1	1	1	1	1	0
s751	44	1	1	1	1	1	0
s752	200	1	1	0	1	1	0
s753	13581	1	1	1	1	1	0
s754	4446	1	1	1	1	1	0
s755	1184	1	1	1	1	1	0
s756	4	1	1	1	1	0	0
s757	6199	1	1	1	1	1	0
s758	50	1	0	0	0	1	0
s759	23	1	1	1	1	1	0
s760	7849	1	1	1	1	1	0
s761	179	1	1	1	0	1	0
s762	615	1	1	1	0	0	0
s763	19	1	1	0	0	0	0
s764	244	1	1	0	0	1	0
s765	4177	1	1	1	0	1	0
s766	1774	1	1	1	1	1	0
s767	251	1	1	1	1	0	0
s768	11802	1	1	1	1	1	0
s769	1766	1	1	1	1	1	0
s770	838	1	1	0	0	1	0
s771	266	1	1	1	1	1	0
s772	302	1	1	0	1	1	0
s773	8127	1	1	1	1	1	0
s774	6297	1	1	1	1	1	0
s775	304	1	1	1	1	0	0
